sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GILAB-001_S297	264014	237953	90.13	232677	216970	82.18	139344	52.78
GILAB-002_S298	379146	335355	88.45	331178	313299	82.63	226470	59.73
GILAB-003_S299	319638	271142	84.83	267599	249444	78.04	171500	53.65
GILAB-004_S300	369502	326994	88.5	323027	303555	82.15	192706	52.15
GILAB-005_S301	306337	276541	90.27	271947	250071	81.63	158681	51.8
GILAB-006_S302	348037	311656	89.55	307173	288471	82.89	192819	55.4
GILAB-007_S303	350650	313972	89.54	308696	290845	82.94	207624	59.21
GILAB-008_S304	340108	306136	90.01	301839	285851	84.05	203037	59.7
GILAB-009_S305	323389	272814	84.36	268669	250846	77.57	176384	54.54
GILAB-010_S306	314146	281578	89.63	277571	264355	84.15	191041	60.81
GILAB-011_S307	534971	480981	89.91	474315	448627	83.86	298967	55.88
GILAB-012_S308	539738	484429	89.75	478270	453331	83.99	323669	59.97
GILAB-013_S309	227501	144116	63.35	142316	130253	57.25	100148	44.02
GILAB-014_S310	347438	312474	89.94	308603	292575	84.21	204400	58.83
GILAB-015_S311	272940	245741	90.03	242196	227142	83.22	155938	57.13
GILAB-016_S312	338736	282752	83.47	280140	261822	77.29	193168	57.03
GILAB-017_S313	318712	287342	90.16	283045	267032	83.78	188642	59.19
GILAB-018_S314	316283	280465	88.68	277234	261085	82.55	176298	55.74
GILAB-019_S315	678735	612036	90.17	605534	578607	85.25	418668	61.68
GILAB-020_S316	542702	484386	89.25	480835	463141	85.34	366982	67.62
GILAB-021_S317	631592	557599	88.28	551154	523579	82.9	403200	63.84
GILAB-022_S318	620077	541058	87.26	535030	509457	82.16	368553	59.44
GILAB-023_S319	602956	531791	88.2	526927	506101	83.94	387503	64.27
GILAB-024_S320	594962	513798	86.36	508966	484305	81.4	371165	62.38
GILAB-025_S321	829455	739248	89.12	734127	705422	85.05	493698	59.52
GILAB-026_S322	581762	492040	84.58	487871	464969	79.92	350088	60.18
GILAB-027_S323	680966	597261	87.71	591735	563250	82.71	403962	59.32
GILAB-028_S324	695196	618794	89.01	612689	588928	84.71	437689	62.96
GILAB-029_S325	623328	521608	83.68	518418	491114	78.79	350712	56.26
GILAB-030_S326	684123	586210	85.69	582576	555295	81.17	414733	60.62
GILAB-031_S327	574674	468874	81.59	464282	439668	76.51	353616	61.53
GILAB-032_S328	395955	145529	36.75	143135	127937	32.31	107915	27.25
GILAB-033_S329	683331	597129	87.39	590279	559148	81.83	416655	60.97
GILAB-034_S330	547457	441400	80.63	436796	406671	74.28	304915	55.7
GILAB-035_S331	623998	541658	86.8	537241	514904	82.52	398859	63.92
GILAB-036_S332	525142	474421	90.34	469320	447255	85.17	318679	60.68
GILAB-037_S333	627043	562932	89.78	557541	533036	85.01	400314	63.84
GILAB-038_S334	595141	531258	89.27	525169	499238	83.89	372798	62.64
GILAB-039_S335	716841	637543	88.94	632882	606933	84.67	471667	65.8
GILAB-040_S336	615938	549554	89.22	544382	521082	84.6	388279	63.04
